hs_code,descrip
2515110000,MARMOL Y TRAVERTINOS EN BRUTO O DESBASTADOS
2515200000,"""ECAUSSINES""  Y  DEMAS  PIEDRAS  CALIZAS DE TALLA O DE CONSTRUCCION; ALABASTRO"
2516110000,GRANITO EN BRUTO O DESBASTADO
2516120000,"GRANITO, SIMPLEM. TROCEADO, POR ASERRADO O DE OTRO MODO, EN BLOQUES O EN PLACAS"
2516900000,LAS DEMAS PIEDRAS DE TALLA O DE CONSTRUCCION
2517100000,"CANTOS, GRAVA, PIEDRAS MACHACADAS, DE GENERALMENTE UTILIZ. P` HACER HORMIGON"
2517200000,"MACADAN DE ESCORIAS O DE DESECHOS INDUSTRIALES SIMILARES,  INCL. C/MATERIALES"
2517300000,MACADAN ALQUITRANADO
2517410000,"GRANULOS, TASQUILES (FRAGMENTOS) Y POLVO, DE MARMOL"
2517490000,"GRANULOS, TASQUILES (FRAGMENTOS) Y POLVO, DE PIEDRAS DE LAS PART. 25.15 O 25.16"
2518100000,"DOLOMITA SIN CALCINAR NI SINTERIZAR, LLAMADA ""CRUDA"""
2518200000,DOLOMITA CALCINADA O SINTERIZADA
2519100000,CARBONATO DE MAGNESIO NATURAL (MAGNESITA)
2519901000,MAGNESIA ELECTROFUNDIDA
2519902000,"OXIDO  DE  MAGNESIO,  INCLUSO QUIMICAMENTE PURO"
2519903000,"MAGNESIA CALCINADA A MUERTE (SINTERIZADA), INCL. C/PEQUEÑAS CANT. DE OTROS OXIDOS"
2520100000,YESO NATURAL; ANHIDRITA
2520200000,YESO FRAGUABLE
2522100000,"CAL VIVA, EXCEPTO EL Ã¿XIDO E HIDRÃ¿XIDO DE CALCIO DE LA PARTIDA 28.25"
2522200000,"CAL APAGADA, EXCEPTO EL Ã¿XIDO E HIDRÃ¿XIDO DE CALCIO DE LA PARTIDA 28.25"
2522300000,"CAL HIDRAULICA, EXCEPTO EL Ã¿XIDO E HIDRÃ¿XIDO DE CALCIO DE LA PARTIDA 28.25"
2523210000,"CEMENTO PORTLAND BLANCO, INCLUSO COLOREADO ARTIFICIALMENTE"
2523300000,CEMENTOS ALUMINOSOS
2523900000,DEMAS CEMENTOS HIDRAULICOS
2525200000,MICA EN POLVO
2525300000,DESPERDICIOS DE MICA
2526100000,"ESTEATITA NATURAL, SIN TRITURAR NI PULVERIZAR"
2526200000,"ESTEATITA NATURAL, TALCO, TRITURADOS O PULVERIZADOS"
2529100000,FELDESPATO
2529210000,ESPATO FLUOR CON UN CONTENIDO DE FLUORURO DE CALCIO <= AL 97% EN PESO
2529220000,ESPATO FLUOR CON UN CONTENIDO DE FLUORURO DE CALCIO > AL 97% EN PESO
2529300000,LEUCITA; NEFELINA Y NEFELINA SIENITA
2530100000,"VERMICULITA, PERLITA Y CLORITAS, SIN DILATAR"
2923200000,LECITINAS Y DEMAS FOSFOAMINOLIPIDOS
2924110000,MEPROBAMATO (DCI)
2924219000,"LAS DEMAS UREINAS, SUS DERIVADOS Y SALES"
2924230000,ACIDO 2-ACETAMIDOBENZOICO (ÁCIDO N-ACETILANTRANÍLICO) Y SUS SALES
2924240000,ETINAMATO (DCI)
2924291000,ACETIL-P-AMINOFENOL (PARACETAMOL) (DCI)
2924292000,LIDOCAINA (DCI)
2924293000,"CARBARIL (ISO), CARBARILO (DCI)"
2924294000,PROPANIL (ISO)
2924296000,ASPARTAMO (DCI)
2924297000,ATENOLOL (DCI)
2925110000,SACARINA Y SUS SALES
2925120000,GLUTETIMIDA (DCI)
2925190000,DEMAS IMIDAS Y SUS DERIVADOS; SALES DE ESTOS PRODUCTOS
2926100000,ACRILONITRILO
