TIPO DE PRODUCTO:,Gravámenes Vigentes,Ad / Valorem,Impuesto Selectivo al Consumo,Impuesto General a las Ventas,Impuesto de Promoción Municipal,Derecho Específicos,Derecho Antidumping,Seguro,Sobretasa Tributo,Unidad de Medida:,Sobretasa Sanción,hs_code
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2515110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2515200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2516110000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2516120000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2516900000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2517100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2517200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2517300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2517410000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,2%,0%,(*),N.A.,2517490000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2518100000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2518200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2519100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2519901000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2519902000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2519903000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2520100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2520200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2522100000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2522200000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2522300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2523210000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2523300000
  LEY 29666-IGV 20.02.11,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2523900000
  FE ERRATAS 08.11.2014-DS.312-2014-EF-06.11.2014-LEY 29666-I,Valor,6%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2525200000
  DS.340-2014-EF-DS.314-2014-EF-FE ERRATAS 08.11.2014-DS.312-2,Valor,0%,0%,16%,2%,N.A.,N.A.,1.5%,0%,(*),N.A.,2525300000
